@relation missing_fixed(2)-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Temp numeric
@attribute TMax numeric
@attribute Tmin numeric
@attribute SLP numeric
@attribute Humidity numeric
@attribute PPresure numeric
@attribute VVisiblity numeric
@attribute VavgWindSpeed numeric
@attribute VMWindSpeed numeric
@attribute VGspeed numeric
@attribute RAin numeric
@attribute SNow numeric
@attribute TStrom numeric
@attribute FoG numeric
@attribute NowCast numeric
@attribute Raw numeric
@attribute AQI_CATEGORY {'very unhealthy ',hazardous,moderate,good,'moderate unhealthy ',unhealthy}

@data
2018,2,4,23.4,29.2,18.3,1012.5,57,20.32,3.3,1.4,5.6,0,1,0,1,4,226.345833,216.125,'very unhealthy '
2017,7,29,29.8,32.4,27.5,1003.6,81,9.14,5,0,4.3,0,14,0,8,0,44.116667,44.291667,'very unhealthy '
2016,9,19,29,32.7,26.7,1004.3,81.9,143.77,4.6,0.9,4.3,0,18,0,6,0,30.120833,30.541667,'very unhealthy '
2018,3,15,28.2,34.4,23.7,1007.8,62,0.51,4.2,1.5,5.4,0,2,0,0,0,83.925,81.166667,'very unhealthy '
2018,5,28,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,0,15,0,12,0,33.806667,23.8,'very unhealthy '
2019,6,28,28.2,33.3,26.8,998.6,90,7.11,4.3,4.6,9.4,0,15,0,11,0,24.204167,25.25,'very unhealthy '
2018,12,29,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,0,0,0,0,0,141.479167,144.375,'very unhealthy '
2016,9,13,26.4,29.2,25.4,1006.6,94,11.94,4,0,4.3,0,18,0,6,0,25.7625,26.5,'very unhealthy '
2017,10,20,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,0,9,0,1,0,14.783333,14.666667,'very unhealthy '
2018,4,27,26.7,31,19.8,1009.1,68,0,5.5,2.6,7.6,0,10,0,13,0,53.279167,55.208333,'very unhealthy '
2017,6,10,29.3,33,26.3,1000.7,78.5,240.54,4.9,2.1,5.8,0,7,0,6,0,37.575,36.958333,'very unhealthy '
2016,1,29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,78.47,'very unhealthy '
2017,12,15,24.1,27.2,16.2,1014.8,53,0,3.7,1.9,3.5,0,3,0,0,7,159.458333,155.416667,'very unhealthy '
2017,10,23,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,0,9,0,1,0,56.258333,56.875,'very unhealthy '
2018,3,18,27.3,33.3,21.7,1009.1,56.9,17.27,4.4,2,5.7,0,2,0,0,0,123.0375,125.041667,'very unhealthy '
2018,9,23,30.5,33.9,26.8,1010.4,72,0,5,1.9,5.4,0,10,0,6,0,77.74,98.5,'very unhealthy '
2018,11,23,23.6,29.7,18.9,1013.1,65.5,0,3.7,1.1,5.9,0,0,0,0,0,148.85,146.875,'very unhealthy '
2016,11,25,22.7,29.2,18.3,1010.5,69,0,4.2,0.6,3.5,0,4,0,1,0,177.829167,179.083333,'very unhealthy '
2018,6,30,29.4,33.4,25.6,999.6,81,304.3,4.5,3.5,10.4,0,20,0,11,0,32.320833,32.041667,'very unhealthy '
2016,8,8,29.3,33.3,27,1001.1,78,0.51,4.8,2.2,3.5,0,18,0,4,0,24.279167,24.083333,'very unhealthy '
2017,1,12,20.8,26.2,15.5,1013.5,62.8,0,3.2,1.6,4.2,0,0,0,0,1,146.841667,141.875,'very unhealthy '
2017,1,30,20.8,26.2,15.5,1013.5,62.8,0,3.2,1.6,4.2,0,0,0,0,1,125.5875,125.708333,'very unhealthy '
2016,6,27,31.9,35,27.9,1002.3,66,0,5,3.7,9.4,0,4,0,3,0,24.433333,23.5,'very unhealthy '
2017,12,29,21.7,27,15.3,1014.2,70,0,2.9,0,4.4,0,3,0,0,7,165.8875,164.583333,'very unhealthy '
2018,2,22,25,31,20,1009.2,58,0,3.9,0.9,3.5,0,1,0,1,4,166.6,166,'very unhealthy '
2017,3,1,26.7,31.5,17.9,1011.3,37,0,3.9,0.9,3.5,0,5,0,6,1,175.5125,182.291667,'very unhealthy '
2017,11,17,25.4,30.3,20.6,1011,64,5.85,4.3,1.6,5.4,0,3,0,0,0,30.066667,31.958333,'very unhealthy '
2016,6,27,31.9,35,27.9,1002.3,66,0,5,3.7,9.4,0,4,0,3,0,24.433333,23.5,'very unhealthy '
2017,8,31,28.2,31.3,26.2,1004.4,89,29.21,4.5,0.7,3.5,0,19,0,9,0,28.354167,28.666667,'very unhealthy '
2017,12,29,21.7,27,15.3,1014.2,70,0,2.9,0,4.4,0,3,0,0,7,165.8875,164.583333,'very unhealthy '
2017,2,10,23.7,29.4,18.5,1011.2,58,0.51,3.8,1.3,3.8,0,0,0,0,1,245.458333,248.166667,'very unhealthy '
2017,8,30,29.2,32.4,26.8,1002.1,82.2,574.3,4.6,1,4.3,0,19,0,9,0,25.704167,24.75,'very unhealthy '
2016,4,1,22.3,27,18.2,1010.2,78,7.11,3.9,2.6,9.4,0,5,0,2,0,53.479167,54.5,'very unhealthy '
2018,5,5,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,0,15,0,12,0,41.579167,42.75,'very unhealthy '
2018,8,9,29.3,34,27.2,1002.9,79,0,4.5,2.4,9.4,0,19,0,4,0,0.616667,123.583333,'very unhealthy '
2016,8,24,29.5,33.2,26.8,1001.3,78.1,172.98,4.8,2.1,5.5,0,18,0,4,0,70.654167,69.541667,'very unhealthy '
2017,5,18,29.9,34.3,25.6,1004.6,72.4,201.69,5.1,2.2,7,0,10,0,6,0,36.379167,36.708333,'very unhealthy '
2016,1,29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,78.47,'very unhealthy '
2017,4,11,28,32.7,23.4,1006.4,72.2,230.38,4.8,3.5,8.1,0,9,0,7,0,73.995833,74.208333,'very unhealthy '
2019,7,10,29.2,32.6,28,998.9,84,1.27,5,5.4,9.4,0,21,0,9,0,27.641667,28.666667,'very unhealthy '
2018,12,17,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,0,0,0,0,0,151.258333,148.083333,'very unhealthy '
2017,8,1,30.4,33.6,28.2,1001.5,78,0,4.5,1.1,3.5,0,19,0,9,0,37.25,37.583333,'very unhealthy '
2018,12,3,21.8,28.5,16.7,1014.1,61,0,3.9,1.1,5.4,0,0,0,0,0,124.3375,124.958333,'very unhealthy '
2017,12,29,21.7,27,15.3,1014.2,70,0,2.9,0,4.4,0,3,0,0,7,165.8875,164.583333,'very unhealthy '
2019,9,13,27.6,29.5,26.6,1006.8,94,16.76,3.9,1.3,5.4,0,21,0,9,0,46.975,47.5,'very unhealthy '
2016,4,8,31,36,27,1006.9,70,0,4.5,4.4,9.4,0,5,0,2,0,60.895833,61,'very unhealthy '
2016,2,22,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,77.74,78.47,'very unhealthy '
2017,7,15,30.7,34,27.3,1001.1,68,0,5,2,5.4,0,14,0,8,0,29.675,13.625,'very unhealthy '
2016,4,14,30.2,34.8,26.8,1005.4,72.1,33.53,4.4,4.4,8.6,0,5,0,2,0,42.829167,42.833333,'very unhealthy '
2016,10,27,25.2,30.2,24.2,1011.9,89,45.72,4,2.2,9.4,0,11,0,6,0,46.933333,45.416667,'very unhealthy '
2019,8,2,30.2,34.4,27.3,999.3,76,0,4.8,4.8,9.4,0,17,1,1,0,30.416667,30.083333,'very unhealthy '
2016,5,18,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,0,11,0,9,0,31.475,31.625,'very unhealthy '
2018,12,28,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,0,0,0,0,0,155.020833,153.083333,'very unhealthy '
2017,9,18,29.3,32.9,26.7,1004.9,81.3,383.03,4.6,1.2,4.7,0,15,0,9,0,17.975,17.208333,'very unhealthy '
2017,8,21,28.8,33.6,27.4,1002.3,87,17.78,4.5,0,4.3,0,19,0,9,0,41.425,43.916667,'very unhealthy '
2016,6,30,31,34.5,27.7,1003.7,70.3,10.17,4.7,3.1,5.7,0,4,0,3,0,32.7875,32.333333,'very unhealthy '
2016,5,3,28.2,32.4,22,1006.8,74,0,4.3,5,9.4,0,11,0,9,0,53.1125,54.583333,'very unhealthy '
2018,4,18,27.4,33,22.1,1007.8,67.6,331.46,4.6,3.2,10,0,10,0,13,0,79.678261,34.391304,'very unhealthy '
2016,5,22,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,0,11,0,9,0,52.4875,52.916667,'very unhealthy '
2017,8,21,28.8,33.6,27.4,1002.3,87,17.78,4.5,0,4.3,0,19,0,9,0,41.425,43.916667,'very unhealthy '
2016,10,27,25.2,30.2,24.2,1011.9,89,45.72,4,2.2,9.4,0,11,0,6,0,46.933333,45.416667,'very unhealthy '
2019,9,18,29.1,33.3,26.3,1006.3,80,162.32,4.7,2.8,7.3,0,21,0,9,0,55.016667,55,'very unhealthy '
2017,1,31,20.8,26.2,15.5,1013.5,62.8,0,3.2,1.6,4.2,0,0,0,0,1,167.829167,177.083333,'very unhealthy '
2019,1,5,19.7,26.1,13.3,1016.4,57.2,0,3.6,1.5,5.4,0,0,0,0,0,187.329167,183.041667,'very unhealthy '
2016,4,14,30.2,34.8,26.8,1005.4,72.1,33.53,4.4,4.4,8.6,0,5,0,2,0,42.829167,42.833333,'very unhealthy '
2018,2,24,23.4,29.2,18.3,1012.5,57,20.32,3.3,1.4,5.6,0,1,0,1,4,116.225,115.083333,'very unhealthy '
2017,8,30,29.2,32.4,26.8,1002.1,82.2,574.3,4.6,1,4.3,0,19,0,9,0,25.704167,24.75,'very unhealthy '
2018,9,1,29.9,33.7,27.8,1003.1,75,0,5,5.9,9.4,0,10,0,6,0,77.74,98.5,'very unhealthy '
